,弹幕,类别
4291,哈哈哈,高兴
4292,楼梯高能,负样本
4293,哈哈哈,高兴
4294,赤司？？,负样本
4295,冲！,负样本
4296,冲！,负样本
4297,冲啊！,负样本
4298,冲冲冲啊,负样本
4299,冲入敌营‘,负样本
4300,充气的冲击力真的能扎穿人手？,负样本
4301,丑死了,负样本
4302,丑爷:我们回家(？？？？？？),负样本
4303,出柜,负样本
4304,出汗,负样本
4305,出来,负样本
4306,出来♂了~,负样本
4307,出来冒个泡,负样本
4308,出现了！tian子！,负样本
4309,出现了！次元箱！,负样本
4310,出现了！末影箱！,负样本
4311,出现了，高能,负样本
4312,出现了：众生平等枪,负样本
4313,出现了胡八一的工兵铲,负样本
4314,出现了开光嘴,负样本
4315,出现了特大高能,负样本
4316,出血量超大,负样本
4317,出血量超大,负样本
4318,出浴室有高能,负样本
4319,初来乍到,负样本
4320,初音未来在抱着我。,负样本
4321,哈哈哈,高兴
4322,前方即将高能,负样本
4323,除了cc尖叫没觉得哪里恐怖,负样本
4324,量词破碎23333,负样本
4325,一顿落叶,负样本
4326,一把落叶,负样本
4327,一把落叶,负样本
4328,哈哈哈,高兴
4329,踹门的小哥死了,负样本
4330,我都不fei绕过他,负样本
4331,哈哈哈,高兴
4332,穿！摸！了！啊！,负样本
4333,一狗头落叶,负样本
4334,血是多音字,负样本
4335,什么玩意,难过
4336,哈哈哈,高兴
4337,哈哈哈,高兴
4338,哈哈哈,高兴
4339,妈妈渐渐不对劲了,负样本
4340,穿了过去。,负样本
4341,自己玩  就不好笑了  还是有点小怕的,负样本
4342,哈哈哈,高兴
4343,哈哈哈,高兴
4344,说肉山是泰拉boss的多久没玩了？,负样本
4345,哈哈哈,高兴
4346,传说中的开箱环节,负样本
4347,哈哈哈,高兴
4348,一盏落叶,负样本
4349,一件落叶,负样本
4350,一牛顿落叶,负样本
4351,一欧姆落叶,负样本
4352,一克拉落叶,负样本
4353,疯人院岳母2不格挡两下人没了,负样本
4354,船：原来我是猫耳,负样本
4355,船上居然还有电,负样本
4356,咋走了？啥时候了？,负样本
4357,船员：原来我是士兵,负样本
4358,船长室应该是有把野牛,负样本
4359,床：原来我是椅子,负样本
4360,床底下有8发子弹,负样本
4361,c病毒？,负样本
4362,哈哈哈,高兴
4363,你好短啊o,负样本
4364,哈哈哈,高兴
4365,床底有子弹,负样本
4366,哈哈哈,高兴
4367,哈哈哈,高兴
4368,床前明月光 疑是地上霜 举头望明月 低头思故乡,负样本
4369,床前明月光 疑是地上霜 举头望明月 低头思故乡,负样本
4370,没弹幕！？,负样本
4371,马桶里。,负样本
4372,这生化危机感觉是为了恐怖而恐怖了，貌似跟生化关系不是很贴近,负样本
4373,伏地魔？,负样本
4374,床前明月光 疑是地上霜 举头望明月 低头思故乡,负样本
4375,一把落叶,负样本
4376,床下有东西好像,负样本
4377,嗯，就要应该喝了吧？不是打错了，急救,负样本
4378,一堆落叶吧？,负样本
4379,此时的时间线，生化危机复仇的故事刚结束不久,负样本
4380,哈哈哈,高兴
4381,一堆落叶不好吗？,负样本
4382,哈哈哈,高兴
4383,哈哈哈,高兴
4384,哈哈哈,高兴
4385,起的太晚烧屁股了,负样本
4386,哈哈哈,高兴
4387,所以岳父死了没,负样本
4388,哈哈哈,高兴
4389,哈哈哈,高兴
4390,哈哈哈,高兴
4391,哈哈哈,高兴
4392,我去,负样本
4393,哈哈哈,高兴
4394,此时的伊森还蒙在鼓里,负样本
4395,哈哈哈,高兴
4396,弹幕？,负样本
4397,可以用榴弹打的,负样本
4398,此时卢卡斯把储物箱搬走了会怎样哈哈,负样本
4399,此时拳皇正在热身,负样本
4400,哈哈哈,高兴
4401,此时一位靓仔路过,负样本
4402,哈哈哈,高兴
4403,次次都是被cc吓到的!烦死了!,负样本
4404,哈哈哈,高兴
4405,哈哈哈,高兴
4406,虎狼之词,负样本
4407,刺客信条？？？,负样本
4408,哈哈哈,高兴
4409,哈哈哈,高兴
4410,从8回来考古，伊森yyds,负样本
4411,从表看出还有血,负样本
4412, 因为cc是留学生，不爱看滚,愤怒
4413,这把叼灯,负样本
4414,从冰箱里副警长的头颅就可以看出菌兽是人变的，上面的绿字你是云玩家吧，,负样本
4415,哈哈哈,高兴
4416,狼虎之词,负样本
4417,哈哈哈,高兴
4418,悼,负样本
4419,哈哈哈,高兴
4420,就不能开手电筒吗？,负样本
4421,从纯黑那里过来的,负样本
4422,.,负样本
4423,从此，c君改名E君,负样本
4424,从隔壁纯黑过来,负样本
4425,离子烫,负样本
4426,哈哈哈,高兴
4427,哈哈哈,高兴
4428,哈哈哈,高兴
4429,从隔壁逃生2过来！伊森我又来了！,负样本
4430,bbbb,负样本
4431,从后面妈妈大概就被伊芙琳完全控制了,负样本
4432,你倒是拿她的提灯啊，那个提灯你得放在你前面的那个天平那,愤怒
4433,你倒是把她的提灯拿走啊,愤怒
4434,细节疙瘩NB,负样本
4435,屁股着火啦,负样本
4436,哈哈哈,高兴
4437,火在裆下,负样本
4438,1,负样本
4439,这是个打脸游戏,负样本
4440,哈哈哈,高兴
4441,哈哈哈,高兴
4442,儿媳？,负样本
4443,儿媳？,负样本
4444,哈哈哈,高兴
4445,从恐怖到热血,负样本
4446,哈哈哈,高兴
4447,u,负样本
4448,从生8来的,负样本
4449,哈哈哈,高兴
4450,弹幕护体,负样本
4451,彻底死了,负样本
4452,从生化2来的，这个奥利弗事孤儿院的孩子？,负样本
4453,核能,负样本
4454,哈哈哈,高兴
4455,核能,负样本
4456,哈哈哈,高兴
4457,从生化8回来,负样本
4458,哈哈哈,高兴
4459,哈哈哈,高兴
4460,哈哈哈,高兴
4461,介词是形容名词的，小憨憨,负样本
4462,从生化8回来，伊森真男人,负样本
4463,哈哈哈,高兴
4464,一弹幕落叶·,负样本
4465,天秤,负样本
4466,噢康忙,负样本
4467,别骂了别骂了,负样本
4468,哈哈哈,高兴
4469,■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4470,■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4471,■■■■■■■■■■■■■■■■■■■■■■■,负样本
4472,■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4473,■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4474,■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4475,■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4476,■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4477,哈哈哈,高兴
4478,前方打蜘蛛boss,负样本
4479,前方打boss,负样本
4480,CC被绿了,负样本
4481,难道不能烧老太太吗。,负样本
4482,哈哈哈,高兴
4483,哈哈哈,高兴
4484,一集比一集短,负样本
4485,从头看到尾唯一被吓到的地方 不要拦我 我要和c酱动手！,负样本
4486,老太太钻被窝！！！！,负样本
4487,哈哈哈,高兴
4488,哈哈哈,高兴
4489,wdnmd,难过
4490,从我看见这哥们是黑人的时候我就知道他的命运了,负样本
4491,19个其中之一,负样本
4492,哈哈哈,高兴
4493,哈哈哈,高兴
4494,你在说什么,负样本
4495,妖孽！显出原形！,负样本
4496,哈哈哈,高兴
4497,哈哈哈,高兴
4498,哈哈哈,高兴
4499,哈哈哈,高兴
4500,哈哈哈,高兴
4501,从直播过来的,负样本
4502,哈哈哈,高兴
4503,不死图腾,负样本
4504,哈哈哈,高兴
4505,几秒不见甚是想念,负样本
4506,猝不及防,负样本
4507,哈哈哈,高兴
4508,猝死,负样本
4509,哈哈哈,高兴
4510,画面过于和谐，不忍直视啊。,负样本
4511,大难不死必有补刀,负样本
4512,哈哈哈,高兴
4513,存活,负样本
4514,根7比起来生化五根玩似的啊。。。,负样本
4515,就没用过霰弹枪,负样本
4516,祖安C菌,负样本
4517,存活,负样本
4518,存活,负样本
4519,不不不应该是一尺落叶（doge,负样本
4520,一把落叶……没毛病,负样本
4521,存活,负样本
4522,几秒不见，甚是想念。,负样本
4523,哈哈哈,高兴
4524,歪比巴卜,负样本
4525,存活,负样本
4526,2020考古,负样本
4527,哈哈哈,高兴
4528,存活,负样本
4529,存活,负样本
4530,哈哈哈,高兴
4531,眼睛问题,负样本
4532,哈哈哈,高兴
4533,哈哈哈,高兴
4534,几秒不见，甚是想念,负样本
4535,哈哈哈,高兴
4536,哈哈哈,高兴
4537,马桶的头是假头,负样本
4538,我也是，同时听实况和英语课,负样本
4539,哈哈哈,高兴
4540,哈哈哈,高兴
4541,哈哈哈,高兴
4542,哈哈哈,高兴
4543,存活,负样本
4544,量词破碎,负样本
4545,火裆岳母那个怕不是要笑死我,负样本
4546,哈哈哈,高兴
4547,哈哈哈 ,高兴
4548,你谁呀,负样本
4549,一焦耳落叶,负样本
4550,一摩尔落叶,负样本
4551,哈哈哈  哈哈哈哈哈,高兴
4552,盆友不要ky,负样本
4553,实在不好意思，憋不住了,负样本
4554,存活,负样本
4555,哈哈哈 我开始就想 我知道密码 干嘛要到处漏油去取那个发条,高兴
4556,哈哈哈！捂脸笑，还飚血,高兴
4557,"哈哈哈,.我居然愉快的看着恐怖视频",高兴
4558,存活,负样本
4559,存活,负样本
4560,我就没看你用过猎枪,负样本
4561,存活,负样本
4562,存活,负样本
4563,哈哈哈，2年后，前有马格南打娃娃，后有闪光弹鞭尸,高兴
4564,存活,负样本
4565,密集恐惧！！！！！！！！,难过
4566,一把地图？？,负样本
4567,存活,负样本
4568,哈哈哈，nb,高兴
4569,存活,负样本
4570,虎狼之词,负样本
4571,哈哈哈，UP主绝对是个宝藏女孩，爱了，爱了,高兴
4572,哈哈哈，狗头被扇飞了,高兴
4573,这里的车底有猎枪子弹,负样本
4574,牛顿发射器,负样本
4575,抱紧巴卫的尾巴,负样本
4576,存活,负样本
4577,哈哈哈，哈哈哈，哈哈哈哈哈哈哈哈哈,高兴
4578,刚刚你打晕了妈妈但灯没捡,负样本
4579,你在哪里学的英语？,负样本
4580,存活,负样本
4581,哈哈哈，回合制哈哈哈哈哈哈,高兴
4582,虎狼之词,负样本
4583,存活,负样本
4584,存活,负样本
4585,哈哈哈，经历了人生的大起大落,高兴
4586,存活,负样本
4587,存活,负样本
4588,存活,负样本
4589,哈哈哈，你老婆没了,高兴
4590,存活举爪,负样本
4591,存活确定,负样本
4592,你叫得比游戏本身更可怕。,负样本
4593,哈哈哈，牛逼牛逼,高兴
4594,下一章双截棍打莱莱,负样本
4595,苟,负样本
4596,angrry！,负样本
4597,哈哈哈，他没变,高兴
4598,自动变色,负样本
4599,哈哈哈，太帅了,高兴
4600,存活确认,负样本
4601,残料？,负样本
4602,存活确认,负样本
4603,哈哈哈，拖儿带女。。。,高兴
4604,存活确认,负样本
4605,哈哈哈，现在不行，你想我现在也没那个心情啊,高兴
4606,哈哈哈，笑死,高兴
4607,一坨地图,负样本
4608,想桃子呢⬇️,负样本
4609,边看实况边写英语的估计就我一个吧,负样本
4610,哈哈哈，有趣呀c菌,高兴
4611,有7个人和我一起看不害怕了哈哈哈,负样本
4612,存活确认,负样本
4613,存活确认,负样本
4614,2020了,负样本
4615,存活确认,负样本
4616,存活确认,负样本
4617,存活确认,负样本
4618,存活确认,负样本
4619,哈哈哈，这笑声,高兴
4620,这是新病毒，不会有舔爷的,负样本
4621,哈哈哈、,高兴
4622,红红火火恍恍惚惚,负样本
4623,存活确认,负样本
4624,一罐落叶,负样本
4625,这p有点黑啊,负样本
4626,神特么牛顿,负样本
4627,一mol落叶,负样本
4628,再打老太太一炮！,负样本
4629,哈哈哈...C菌默默的往回走.,高兴
4630,哈哈哈。。。。,高兴
4631,高能菌在哪里？！,负样本
4632,前方核能！！！,负样本
4633,哈哈哈。老CSGO了,高兴
4634,弹幕,负样本
4635,存活确认,负样本
4636,李三光又要骂人了,负样本
4637,男主是伊森，什么里昂不里昂的,负样本
4638,存活确认,负样本
4639,麦林枪两发肚子她就不行了,负样本
4640,show yourself！,负样本
4641,可怜的李三光,负样本
4642,烫头,负样本
4643,哈哈哈~我也是高龄玩家,高兴
4644,嘘，小声点,负样本
4645,同学们，这不是直播,负样本
4646,存活确认,负样本
4647,一把落叶,负样本
4648,我看成核弹发射器,负样本
4649,我看成核弹发射器了,负样本
4650,哈哈哈2倍速那个,高兴
4651,大空之火？,负样本
4652,E总救我,负样本
4653,刷什么别的东西，弹幕礼仪白学了？,愤怒
4654,哈哈哈cc ,高兴
4655,哈哈哈cc错过了修复贝雷塔的机会,高兴
4656,你妈化了还行,负样本
4657,存活确认,负样本
4658,祖安猎马人,负样本
4659,哈哈哈SCP的等等,高兴
4660,你妈化了hhhh23333,负样本
4661,哈哈哈wdnmd野鸽的脑袋,高兴
4662,哈哈哈啊啊哈哈,高兴
4663,存活确认,负样本
4664,哈哈哈啊哈 E,高兴
4665,哈哈哈啊哈哈看到了,高兴
4666,哈哈哈抱走CC,高兴
4667,哈哈哈不小心点开直播间,高兴
4668,存活确认,负样本
4669,一辆一架一飞机落叶,负样本
4670,我在喝汤你一声啊溅我一脸,负样本
4671,哈哈哈操,高兴
4672,存活确认,负样本
4673,哈哈哈大局已定’,高兴
4674,存活确认,负样本
4675,一把落叶，你语文是体育老师教的吗？,负样本
4676,哈哈哈嗝,高兴
4677,跟6代一样 钻东西出来,负样本
4678,哈哈哈嗝,高兴
4679,哈哈哈嗝,高兴
4680,哈哈哈果然先救老婆我喜欢,高兴
4681,我要关弹幕了,负样本
4682,严格意义上知道是读xie不就行了？,负样本
4683,嘴快的话读第三声有啥不对？,负样本
4684,存活确认,负样本
4685,虎狼之词,负样本
4686,CC量词一向散装 以前不是只有条吗,负样本
4687,哈哈哈哈,高兴
4688,哈哈哈哈,高兴
4689,这是岳母 不是奶奶,负样本
4690,存活确认,负样本
4691,18个人在,负样本
4692,这里是原谅高能军，前来拜见,负样本
4693,主角下午过来现在才晚上，用脑子想想好吗天天问，还不用吃饭吗，在这你吃肠子？,负样本
4694,做个吊断,负样本
4695,存活确认,负样本
4696,存活确认,负样本
4697,多来些弹幕啊,负样本
4698,发个弹幕见证当下,负样本
4699,哈哈哈哈,高兴
4700,啥呢。EXO我的。,负样本
4701,哈哈哈哈,高兴
4702,边伯贤我的。,负样本
4703,战前补战前档太难了,负样本
4704,弹幕呢……,负样本
4705,前面弹幕，不是cunt，是cock sucker,负样本
4706,一牛落叶,负样本
4707,强迫症表示想把门上的窟窿砍平？？？,负样本
4708,存活确认,负样本
4709,有点慌,负样本
4710,一拳落叶,负样本
4711,哈哈哈哈,高兴
4712,牛顿：你TM是不是飘了,负样本
4713,哈哈哈哈,高兴
4714,哈哈哈哈,高兴
4715,存活确认,负样本
4716,哈哈哈哈,高兴
4717,哈哈哈哈,高兴
4718,哈哈哈哈,高兴
4719,哈哈哈哈,高兴
4720,存活确认,负样本
4721,存活确认,负样本
4722,存活确认,负样本
4723,哈哈哈哈,高兴
4724,还有19个人,负样本
4725,哈哈哈哈,高兴
4726,苟,负样本
4727,早打啊,负样本
4728,就不能打几下,负样本
4729,JO级生物岳母,负样本
4730,哈哈哈哈,高兴
4731,提灯之前放哪了,负样本
4732,存活确认,负样本
4733,虎狼之词,负样本
4734,他麻德，灯还在,负样本
4735,哈哈哈哈,高兴
4736,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4737,安排的明明白白,负样本
4738,哈哈哈哈,高兴
4739,哈哈哈哈,高兴
4740,哈哈哈哈,高兴
4741,哈哈哈哈,高兴
4742,哈哈哈哈,高兴
4743,哈哈哈哈,高兴
4744,存活确认,负样本
4745,存活确认,负样本
4746,存活确认,负样本
4747,存活确认,负样本
4748,存活确认,负样本
4749,存活确认,负样本
4750,存活确认,负样本
4751,存活确认,负样本
4752,存活确认,负样本
4753,存活确认,负样本
4754,存活确认,负样本
4755,存活确认,负样本
4756,存活确认,负样本
4757,存活确认,负样本
4758,存活确认,负样本
4759,存活确认,负样本
4760,存活确认,负样本
4761,哈哈哈哈,高兴
4762,哈哈哈哈,高兴
4763,哈哈哈哈,高兴
4764,存活确认,负样本
4765,存活确认,负样本
4766,存活确认,负样本
4767,存活确认,负样本
4768,乌鸦坐飞机！,负样本
4769,讲话为什么这么多英语？？,负样本
4770,化学药体,负样本
4771,哈哈哈哈,高兴
4772,存活确认,负样本
4773,存活确认,负样本
4774,哈哈哈哈,高兴
4775,哈哈哈哈,高兴
4776,哈哈哈哈,高兴
4777,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4778,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4779,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4780,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4781,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4782,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4783,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4784,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4785,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4786,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4787,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4788,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4789,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4790,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4791,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4792,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4793,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,负样本
4794,哈哈哈哈,高兴
4795,哈哈哈哈,高兴
4796,19个人中还有我,负样本
4797,恶名,负样本
4798,哈哈哈哈,高兴
4799,存活确认,负样本
4800,存活确认,负样本
4801,我真后悔没有开弹幕,难过
4802,哈哈哈哈,高兴
4803,糟糕的台词,负样本
4804,存活确认,负样本
4805,烧老太太,负样本
4806,几秒不见甚是想念,负样本
4807,哈哈哈哈,高兴
4808,存活确认,负样本
4809,哈哈哈哈,高兴
4810,存活确认,负样本
4811,巫毒娃娃,负样本
4812,那一年，我们都变成了光,负样本
4813,哈哈哈哈,高兴
4814,存活确认,负样本
4815,哈哈哈哈,高兴
4816,哈哈哈哈,高兴
4817,哈哈哈哈,高兴
4818,弹幕弹幕护体护体护体,负样本
4819,存活确认,负样本
4820,存活确认,负样本
4821,存活确认,负样本
4822,哈哈哈哈,高兴
4823,一堆落叶,负样本
4824,钙化,负样本
4825,哈哈哈哈,高兴
4826,存活确认,负样本
4827,存活确认,负样本
4828,哈哈哈哈,高兴
4829,哈哈哈哈,高兴
4830,哈哈哈哈,高兴
4831,存活确认,负样本
4832,存活确认！,负样本
4833,哈哈哈哈,高兴
4834,存活确认！,负样本
4835,哈哈哈哈,高兴
4836,存活确认!!,负样本
4837,存活确认！！！！,负样本
4838,橙子？？？？？,负样本
4839,哈哈哈哈,高兴
4840,一把落叶,负样本
4841,牛蛋发射器,负样本
4842,牛奶发射器,负样本
4843,存活确认?,负样本
4844,存活确认~,负样本
4845,打爆头,负样本
4846,一把地图,负样本
4847,打嗝的那个xswl,负样本
4848,哈哈哈哈,高兴
4849,哈哈哈哈,高兴
4850,哈哈哈哈,高兴
4851,哈哈哈哈,高兴
4852,我都不fei饶过他,负样本
4853,哈哈哈哈,高兴
4854,哈哈哈哈,高兴
4855,马桶里,负样本
4856,哈哈哈哈,高兴
4857,哈哈哈哈,高兴
4858,哈哈哈哈,高兴
4859,哈哈哈哈,高兴
4860,哈哈哈哈,高兴
4861,哈哈哈哈,高兴
4862,哈哈哈哈,高兴
4863,必有补刀,负样本
4864,打给老奶奶了,负样本
4865,病句惹,负样本
4866,哈哈哈哈,高兴
4867,打头3枪,负样本
4868,急救药？,负样本
4869,打在头上  会不会戳到脑子里,负样本
4870,中性声音,负样本
4871,哈哈哈哈,高兴
4872,几秒不见，甚是想念,负样本
4873,哈哈哈哈,高兴
4874,哈哈哈哈,高兴
4875,打这么久怎么可能会记错，不要这么故意吧。。。,负样本
4876,大  惊  小  怪,负样本
4877,大BOSS是小婴儿吗,负样本
4878,哈哈哈哈,高兴
4879,大S啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊阿啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,负样本
4880,几秒不见甚是想念,负样本
4881,哈哈哈哈,高兴
4882,看不清,负样本
4883,什么虎狼之词,负样本
4884,大半夜看这个还挺吓人哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,负样本
4885,祖安人,负样本
4886,哈哈哈哈,高兴
4887,哈哈哈哈,高兴
4888,一把落叶,负样本
4889,哈哈哈哈,高兴
4890,马桶,负样本
4891,岳母酱挂了？？,负样本
4892,哈哈哈哈,高兴
4893,几秒不见甚是想念,负样本
4894,大啵怪？,负样本
4895,三秒不见如隔三秋,负样本
4896,说灯姐的那个别跑！,负样本
4897,大娥子：原来我叫苍蝇,负样本
4898,大概过一分钟有高能,负样本
4899,大概十一个人,负样本
4900,哈哈哈哈,高兴
4901,哈哈哈哈,高兴
4902,哈哈哈哈,高兴
4903,几秒不见甚是想念,负样本
4904,哈哈哈哈,高兴
4905,哈哈哈哈,高兴
4906,你妈化了,负样本
4907,哈哈哈哈,高兴
4908,几秒不见甚是想念,负样本
4909,一盏落叶,负样本
4910,几秒不见甚是想念,负样本
4911,现在20个人了,负样本
4912,哈哈哈哈,高兴
4913,哈哈哈哈,高兴
4914,前方高能前方高能前方高能前方高能前方高能,负样本
4915,大哥，认字吗？赫（he）  ，，郝（好）,负样本
4916,哈哈哈哈,高兴
4917,2020来考古,负样本
4918,突然鬼畜,负样本
4919,哈哈哈哈,高兴
4920,大古熬成汤 瞬间变成光,负样本
4921,天平天秤,负样本
4922,大喊一声：“hello！！！”,负样本
4923,大鸡翅？ 我饿了,负样本
4924,哈哈哈哈,高兴
4925,你自己的手是不是能用...,负样本
4926,你自己的手是不是能用...,负样本
4927,哈哈哈哈,高兴
4928,撤锁,负样本
4929,已经在我怀里了你不用抱了↓,负样本
4930,大鸡架变异,负样本
4931,大家都知道，血其实是绿色的,负样本
4932,一摩尔落叶,负样本
4933,一把落叶,负样本
4934,哈哈哈哈,高兴
4935,哈哈哈哈,高兴
4936,有没有人觉得这里的岳母长得好像伊藤润二的漫画人物风格啊。。。,负样本
4937,屁股着火,负样本
4938,伊森大义灭亲,负样本
4939,哈哈哈哈,高兴
4940,什么嘛，明明是一库伦落叶,负样本
4941,大家快把害怕打在公屏上！,负样本
4942,哈哈哈哈,高兴
4943,还家暴,负样本
4944,一pa落叶,负样本
4945,哈哈哈哈,高兴
4946,你好短啊cc,负样本
4947,大惊从早到晚失色,负样本
4948,这是什么？,负样本
4949,有1吗,负样本
4950,大惊小叫,负样本
4951,尼玛碎了,负样本
4952,哈哈哈哈,高兴
4953,大郎,负样本
4954,哈哈哈哈,高兴
4955,哈哈哈哈,高兴
4956,大老的古海,负样本
4957,大佬的古海？？？？？,负样本
4958,大脑在颤抖,负样本
4959,大脑在颤抖,负样本
4960,大脑在颤抖！,负样本
4961,大脑在颤抖？？,负样本
4962,大扑棱蛾子：原来我叫蝴蝶,负样本
4963,大人，时代变了,负样本
4964,大人，时代变了,负样本
4965,里昂退出直播间,负样本
4966,大人时代变了,负样本
4967,大人时代变了,负样本
4968,你好短啊cc,负样本
4969,大鲨鱼,负样本
4970,我已经不认得落这个词的,负样本
4971,一把落叶......嗯.似乎没错,负样本
4972,橙子？,负样本
4973,岳母给老子爬！,负样本
4974,大威天龙，前来考古,负样本
4975,哈哈哈哈,高兴
4976,大蜈蚣,负样本
4977,屏幕怎么反了,负样本
4978,哈哈哈哈,高兴
4979,大预言家,负样本
4980,一般落叶,负样本
4981,一边落叶,负样本
4982,一条照片,负样本
4983,大战前？,负样本
4984,╭(°A°`)╮前方高能,负样本
4985,哈哈哈哈,高兴
4986,哈哈哈哈,高兴
4987,是天秤吧,负样本
4988,哈哈哈哈,高兴
4989,哈哈哈哈,高兴
4990,一安倍,负样本
4991,一头落叶,负样本
4992,发生什么了弹幕太多我看不清。,负样本
4993,一根落叶，一丝落叶，一坨落叶，一座落叶,负样本
4994,日常的量词粉碎性骨折大家不要紧张,负样本
4995,大战之后必有二战,负样本
4996,呆,负样本
4997,一顿落叶,负样本
4998,呔！Σ(っ°Д°;)っ,负样本
0,20年了还有23个兄弟和我一起看,负样本
1,哈哈哈哈,高兴
2,带耳机的我虎躯一震,负样本
3,哈哈哈哈,高兴
4,带了好几颗手枪？？(橘菌),负样本
5,钙质化,负样本
6,粗鄙之语,负样本
7,待会高能不知炸起多少人,负样本
8,待会就会被吓死,负样本
9,原*弹发射器,负样本
10,哈哈哈哈,高兴
11,哈哈哈哈,高兴
12,戴耳机的我吓死,负样本
13,一头落叶,负样本
14,哈哈哈哈,高兴
15,一条落叶,负样本
16,一只落叶,负样本
17,丹尼尔抱紧我！！！！,负样本
18,0202年来考古,负样本
19,哈哈哈哈,高兴
20,哈哈哈哈,高兴
21,担心主角活着出来,负样本
22,哈哈哈哈,高兴
23,胆小的人玩过一遍还是害怕....,负样本
24,胆小鬼本人了,负样本
25,背包危机,负样本
26,哈哈哈哈,高兴
27,一把落叶,负样本
28,3年过去了 还有19个小伙伴陪我一起看,负样本
29,3年了  还有17个小伙伴和我同时在看,负样本
30,但是要被你给吓死,负样本
31,弹蓦发起来啊，兄弟们我害怕,惊讶
32,史麦戈,负样本
33,弹幕啊啊啊啊！！！！！,惊讶
34,猎枪打肚子啊,负样本
35,虎狼之c,负样本
36,女婿危机,负样本
37,哈哈哈哈 ,高兴
38,弹幕啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,惊讶
39,弹幕保护我，害怕,惊讶
40,哈哈哈哈 cc的配音,高兴
41,一群落叶,负样本
42,弹幕大军救救我,惊讶
43,增加弹幕,负样本
44,哈哈哈哈 cc你在讲相声吗,高兴
45,烧烤？？,负样本
46,哈哈哈哈 疯了,高兴
47,越来越短了,负样本
48,弹幕多侃侃，好害怕,惊讶
49,哈哈哈哈 好兄弟你给谁 戴德留,高兴
50,哈哈哈哈 开始逃生2坠机的别走哈哈哈,高兴
51,哈哈哈哈 脑子是个好东西,高兴
52,弹幕发起来啊我很害怕,惊讶
53,前方高能前方高能前方高能前方高能前方高能前方高能前方高能前方高能前方高能前方高能前方,负样本
54,哈哈哈哈(ಡωಡ)hiahiahia,高兴
55,弹幕护体,惊讶
56,哈哈哈哈，百合,高兴
57,哈哈哈哈，话都说不利索了,高兴
58,哈哈哈哈，傻了吧哈哈,高兴
59,弹幕护体！。。。。。。。，，，，，，擦擦擦擦擦,惊讶
60,弹幕护体！啊啊啊啊啊阿比盖尔加朵朵朵开了你行吗,惊讶
61,哈哈哈哈，这笑声,高兴
62,弹幕护体！啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊。陌陌,惊讶
63,弹幕护体！啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,惊讶
64,弹幕护体，我害怕,惊讶
65,弹幕护体啊啊啊啊啊啊啊啊,惊讶
